
------ 3631424765 ::  ------

3631424765::EN::IGUI_ContainerTitle_Trash = "Trash",
3631424765::CN::IGUI_ContainerTitle_Trash = "垃圾",
3631424765::EN::IGUI_ContainerTitle_TrashPaper = "Scattered Papers",
3631424765::CN::IGUI_ContainerTitle_TrashPaper = "纸片",
3631424765::EN::Sandbox_TYL = "10 Years Later",
3631424765::CN::Sandbox_TYL = "十年之后",
3631424765::EN::Sandbox_TYL_ReadPlease = "READ PLEASE (Hover your cursor)",
3631424765::CN::Sandbox_TYL_ReadPlease = "请阅读 (悬停鼠标)",
3631424765::EN::Sandbox_TYL_ReadPlease_tooltip = "Avoid setting everything to 100%, as this may impact performance.<LINE><LINE> Once the area is loaded, the performance impact will be reduced.<LINE>",
3631424765::CN::Sandbox_TYL_ReadPlease_tooltip = "请避免把所有选项都设置为 100%, 这将影响性能.<LINE><LINE> 加载完成后，性能影响将降低",
3631424765::EN::Sandbox_TYL_animalsPercentage = "Animals",
3631424765::CN::Sandbox_TYL_animalsPercentage = "动物",
3631424765::EN::Sandbox_TYL_animalsPercentage_tooltip = "0 = Disable | 1 =very rare | 5 = frequent <LINE> <LINE> Added more animal spawns<LINE>",
3631424765::CN::Sandbox_TYL_animalsPercentage_tooltip = "0=无 | 1=罕见 | 5=频繁 <LINE> <LINE> 增加更多动物生成<LINE>",
3631424765::EN::Sandbox_TYL_barricadePercentage = "Barricades",
3631424765::CN::Sandbox_TYL_barricadePercentage = "加固",
3631424765::EN::Sandbox_TYL_barricadePercentage_tooltip = "(%), 0 = Disable <LINE><LINE> Windows and doors can be barricaded. <LINE>",
3631424765::CN::Sandbox_TYL_barricadePercentage_tooltip = " (%), 0=无 <LINE><LINE> 门窗可被加固. <LINE>",
3631424765::EN::Sandbox_TYL_bushesPercentage = "Bushes",
3631424765::CN::Sandbox_TYL_bushesPercentage = "灌木丛",
3631424765::EN::Sandbox_TYL_bushesPercentage_tooltip = "(%), 0 = Disable",
3631424765::CN::Sandbox_TYL_bushesPercentage_tooltip = " (%), 0=无",
3631424765::EN::Sandbox_TYL_customGrassPercentage = "Custom 10YL Grass",
3631424765::CN::Sandbox_TYL_customGrassPercentage = "自定义十年之后草地",
3631424765::EN::Sandbox_TYL_customGrassPercentage_tooltip = "(%), 0 = Disable <LINE><LINE> Custom grass textures for 10 Years Later <LINE>",
3631424765::CN::Sandbox_TYL_customGrassPercentage_tooltip = " (%), 0=无 <LINE><LINE> 自定义十年之后草地外观 <LINE>",
3631424765::EN::Sandbox_TYL_fencePercentage = "Destroyed fences",
3631424765::CN::Sandbox_TYL_fencePercentage = "损毁围栏",
3631424765::EN::Sandbox_TYL_fencePercentage_tooltip = "(%), 0 = Disable",
3631424765::CN::Sandbox_TYL_fencePercentage_tooltip = " (%), 0=无",
3631424765::EN::Sandbox_TYL_grassPercentage = "Grass",
3631424765::CN::Sandbox_TYL_grassPercentage = "草地",
3631424765::EN::Sandbox_TYL_grassPercentage_tooltip = "(%), 0 = Disable",
3631424765::CN::Sandbox_TYL_grassPercentage_tooltip = " (%), 0=无",
3631424765::EN::Sandbox_TYL_roofPercentage = "Destroyed roofs",
3631424765::CN::Sandbox_TYL_roofPercentage = "损毁屋顶",
3631424765::EN::Sandbox_TYL_roofPercentage_tooltip = "(%), 0 = Disable",
3631424765::CN::Sandbox_TYL_roofPercentage_tooltip = " (%), 0=无",
3631424765::EN::Sandbox_TYL_storiesPercentage = "Story events",
3631424765::CN::Sandbox_TYL_storiesPercentage = "事件",
3631424765::EN::Sandbox_TYL_storiesPercentage_tooltip = "0 = Disable | 1 =very rare | 5 = frequent <LINE> <LINE> Random story appearances such as: camping tent, hunter...<LINE>",
3631424765::CN::Sandbox_TYL_storiesPercentage_tooltip = "0=无 | 1=罕见 | 5=频繁 <LINE> <LINE> 随机事件如露营帐篷, 打猎...<LINE>",
3631424765::EN::Sandbox_TYL_trashPercentage = "Debris",
3631424765::CN::Sandbox_TYL_trashPercentage = "废墟",
3631424765::EN::Sandbox_TYL_trashPercentage_tooltip = "(%), 0 = Disable <LINE> <LINE> Debris appears where you can find loot. <LINE>",
3631424765::CN::Sandbox_TYL_trashPercentage_tooltip = " (%), 0=无 <LINE> <LINE> 在废墟附近可以找到战利品. <LINE>",
3631424765::EN::Sandbox_TYL_treePercentage = "Trees",
3631424765::CN::Sandbox_TYL_treePercentage = "树木",
3631424765::EN::Sandbox_TYL_treePercentageOnRoad = "Trees on road",
3631424765::CN::Sandbox_TYL_treePercentageOnRoad = "道路长树",
3631424765::EN::Sandbox_TYL_treePercentageOnRoad_tooltip = "(%), 0 = Disable",
3631424765::CN::Sandbox_TYL_treePercentageOnRoad_tooltip = " (%), 0=无",
3631424765::EN::Sandbox_TYL_treePercentage_tooltip = "(%), 0 = Disable <LINE><LINE> Trees appear except on the road <LINE>",
3631424765::CN::Sandbox_TYL_treePercentage_tooltip = " (%), 0=无 <LINE><LINE> 树木不会生长到道路上 <LINE>",
3631424765::EN::Sandbox_TYL_vehiclePercentage = "Vehicles",
3631424765::CN::Sandbox_TYL_vehiclePercentage = "车辆",
3631424765::EN::Sandbox_TYL_vehiclePercentage_tooltip = "0 = Disable | 1 =very rare | 5 = frequent <LINE><LINE> Spawn more vehicle on road <LINE>",
3631424765::CN::Sandbox_TYL_vehiclePercentage_tooltip = "0=禁用 | 1=极少 | 5=频繁<LINE><LINE>在道路上生成更多车辆<LINE>",
3631424765::EN::Sandbox_TYL_vinePercentage = "Wall vegetation",
3631424765::CN::Sandbox_TYL_vinePercentage = "墙壁植物",
3631424765::EN::Sandbox_TYL_vinePercentage_tooltip = "(%), 0 = Disable",
3631424765::CN::Sandbox_TYL_vinePercentage_tooltip = " (%), 0=无",
3631424765::EN::Sandbox_TYL_wallPercentage = "Damaged walls",
3631424765::CN::Sandbox_TYL_wallPercentage = "损毁墙壁",
3631424765::EN::Sandbox_TYL_wallPercentage_tooltip = "(%), 0 = Disable <LINE><LINE> The walls can be replaced with burned or damaged walls <LINE>",
3631424765::CN::Sandbox_TYL_wallPercentage_tooltip = " (%), 0=无 <LINE><LINE> 墙壁会被烧毁或损坏的墙壁替换 <LINE>",


------ 3388844065 :: Ammo Converter B42 ------

	3388844065::EN::ConvertTo3030 = "Convert to .30-30 Round",
	3388844065::CN::ConvertTo3030 = "转换为 .30-30 子弹",
	3388844065::EN::ConvertTo3030Box = "Convert to Box of .30-30 Rounds",
	3388844065::CN::ConvertTo3030Box = "转换为 .30-30 子弹盒",
	3388844065::EN::ConvertTo308 = "Convert to .308 Round",
	3388844065::CN::ConvertTo308 = "转换为 .308 子弹",
	3388844065::EN::ConvertTo308Box = "Convert to Box of .308 Rounds",
	3388844065::CN::ConvertTo308Box = "转换为 .308 子弹盒",
	3388844065::EN::ConvertTo357Magnum = "Convert to .357 Magnum Round",
	3388844065::CN::ConvertTo357Magnum = "转换为 .357 Magnum 子弹",
	3388844065::EN::ConvertTo357MagnumBox = "Convert to Box of .357 Magnum Rounds",
	3388844065::CN::ConvertTo357MagnumBox = "转换为 .357 Magnum 子弹盒",
	3388844065::EN::ConvertTo38Special = "Convert to .38 Special Round",
	3388844065::CN::ConvertTo38Special = "转换为 .38 Special 子弹",
	3388844065::EN::ConvertTo38SpecialBox = "Convert to Box of .38 Special Rounds",
	3388844065::CN::ConvertTo38SpecialBox = "转换为 .38 Special 子弹盒",
	3388844065::EN::ConvertTo44Magnum = "Convert to .44 Magnum Round",
	3388844065::CN::ConvertTo44Magnum = "转换为 .44 Magnum 子弹",
	3388844065::EN::ConvertTo44MagnumBox = "Convert to Box of .44 Magnum Rounds",
	3388844065::CN::ConvertTo44MagnumBox = "转换为 .44 Magnum 子弹盒",
	3388844065::EN::ConvertTo45Auto = "Convert to .45 Auto Round",
	3388844065::CN::ConvertTo45Auto = "转换为 .45 Auto 子弹",
	3388844065::EN::ConvertTo45AutoBox = "Convert to Box of .45 Auto Rounds",
	3388844065::CN::ConvertTo45AutoBox = "转换为 .45 Auto 子弹盒",
	3388844065::EN::ConvertTo556 = "Convert to 5.56mm Round",
	3388844065::CN::ConvertTo556 = "转换为 5.56mm 子弹",
	3388844065::EN::ConvertTo556Box = "Convert to Box of 5.56mm Rounds",
	3388844065::CN::ConvertTo556Box = "转换为 5.56mm 子弹盒",
	3388844065::EN::ConvertTo9mm = "Convert to 9mm Round",
	3388844065::CN::ConvertTo9mm = "转换为 9mm 子弹",
	3388844065::EN::ConvertTo9mmBox = "Convert to Box of 9mm Rounds",
	3388844065::CN::ConvertTo9mmBox = "转换为 9mm 子弹盒",
	3388844065::EN::ConvertToShotgunShells = "Convert to Shotgun Shells",
	3388844065::CN::ConvertToShotgunShells = "转换为 霰弹枪子弹",
	3388844065::EN::ConvertToShotgunShellsBox = "Convert to Box of Shotgun Shells",
	3388844065::CN::ConvertToShotgunShellsBox = "转换为 霰弹枪子弹盒",
3388844065::EN::UI_CraftCat_Ammunition = "Ammunition",
3388844065::CN::UI_CraftCat_Ammunition = "弹药",
