
------ 2959472220 ::  ------

2959472220::EN::ContextMenu_FR_AddGasFromFuelStorage = "Refuel from Fuel Tank",
2959472220::CN::ContextMenu_FR_AddGasFromFuelStorage = "从油箱加油",
2959472220::EN::ContextMenu_FR_AddGasToFuelStorage = "Add Gas to Fuel Tank",
2959472220::CN::ContextMenu_FR_AddGasToFuelStorage = "添加汽油到油箱",
2959472220::EN::ContextMenu_FR_AwningClose = "Retract Awning",
2959472220::CN::ContextMenu_FR_AwningClose = "收起遮阳篷",
2959472220::EN::ContextMenu_FR_AwningOpen = "Extend Awning",
2959472220::CN::ContextMenu_FR_AwningOpen = "展开遮阳篷",
2959472220::EN::ContextMenu_FR_AxeMountAddAxe = "Attach axe.",
2959472220::CN::ContextMenu_FR_AxeMountAddAxe = "安装斧头.",
2959472220::EN::ContextMenu_FR_AxeMountEquipItem = "Equip axe to attach.",
2959472220::CN::ContextMenu_FR_AxeMountEquipItem = "装备斧头以安装.",
2959472220::EN::ContextMenu_FR_AxeMountRemoveAxe = "Grab axe.",
2959472220::CN::ContextMenu_FR_AxeMountRemoveAxe = "拿起斧头.",
2959472220::EN::ContextMenu_FR_ConvertClose = "Close Convertible Top",
2959472220::CN::ContextMenu_FR_ConvertClose = "关闭敞篷车顶",
2959472220::EN::ContextMenu_FR_ConvertOpen = "Open Convertible Top",
2959472220::CN::ContextMenu_FR_ConvertOpen = "打开敞篷车顶",
2959472220::EN::ContextMenu_FR_FillFuelTankFromFuelTank = "Fill Fuel Tank from Fuel Tank",
2959472220::CN::ContextMenu_FR_FillFuelTankFromFuelTank = "从油箱加满油箱",
2959472220::EN::ContextMenu_FR_FillFuelTankFromPump = "Fill Fuel Tank from Pump",
2959472220::CN::ContextMenu_FR_FillFuelTankFromPump = "从油泵加满油箱",
2959472220::EN::ContextMenu_FR_GasMountAddGas = "Attach gas can.",
2959472220::CN::ContextMenu_FR_GasMountAddGas = "安装汽油罐.",
2959472220::EN::ContextMenu_FR_GasMountEquipItem = "Equip gas can to attach.",
2959472220::CN::ContextMenu_FR_GasMountEquipItem = "装备汽油罐以安装.",
2959472220::EN::ContextMenu_FR_GasMountRemoveGas = "Grab gas can.",
2959472220::CN::ContextMenu_FR_GasMountRemoveGas = "拿起汽油罐.",
2959472220::EN::ContextMenu_FR_LightbarIsUninstalled = "It won't do anything! Install the lightbar.",
2959472220::CN::ContextMenu_FR_LightbarIsUninstalled = "没反应! 请安装灯条.",
2959472220::EN::ContextMenu_FR_RemoveExtraPart = "Hey dude, you need to remove the ",
2959472220::CN::ContextMenu_FR_RemoveExtraPart = "嘿,老兄,你需要拆下",
2959472220::EN::ContextMenu_FR_ShovelMountAddShovel = "Attach shovel.",
2959472220::CN::ContextMenu_FR_ShovelMountAddShovel = "安装铲子.",
2959472220::EN::ContextMenu_FR_ShovelMountEquipItem = "Equip shovel to attach.",
2959472220::CN::ContextMenu_FR_ShovelMountEquipItem = "装备铲子以安装.",
2959472220::EN::ContextMenu_FR_ShovelMountRemoveShovel = "Grab shovel.",
2959472220::CN::ContextMenu_FR_ShovelMountRemoveShovel = "拿起铲子.",
2959472220::EN::ContextMenu_FR_SpareTireMountAddSpareTire = "Attach spare tire.",
2959472220::CN::ContextMenu_FR_SpareTireMountAddSpareTire = "安装备用轮胎.",
2959472220::EN::ContextMenu_FR_SpareTireMountEquipItem = "Equip tire to attach.",
2959472220::CN::ContextMenu_FR_SpareTireMountEquipItem = "装备轮胎以安装.",
2959472220::EN::ContextMenu_FR_SpareTireMountRemoveSpareTire = "Grab spare tire.",
2959472220::CN::ContextMenu_FR_SpareTireMountRemoveSpareTire = "拿起备用轮胎.",
2959472220::EN::ContextMenu_FR_StopSignClose = "Go!",
2959472220::CN::ContextMenu_FR_StopSignClose = "出发!",
2959472220::EN::ContextMenu_FR_StopSignOpen = "Stop!",
2959472220::CN::ContextMenu_FR_StopSignOpen = "停止!",
2959472220::EN::ContextMenu_FR_TakeGasFromFuelStorage = "Remove Gas from Fuel Tank",
2959472220::CN::ContextMenu_FR_TakeGasFromFuelStorage = "从油箱中取出汽油",
2959472220::EN::ContextMenu_FR_TakePropaneFromPropaneStorage = "Fill Propane Tank",
2959472220::CN::ContextMenu_FR_TakePropaneFromPropaneStorage = "加满丙烷罐",
2959472220::EN::ContextMenu_FR_VehicleFridgeNoPower = "There's no power!",
2959472220::CN::ContextMenu_FR_VehicleFridgeNoPower = "没有电源!",
2959472220::EN::ContextMenu_FR_VehicleFridgeOff = "Turn Fridge Off",
2959472220::CN::ContextMenu_FR_VehicleFridgeOff = "关闭冰箱",
2959472220::EN::ContextMenu_FR_VehicleFridgeOn = "Turn Fridge On",
2959472220::CN::ContextMenu_FR_VehicleFridgeOn = "打开冰箱",
2959472220::EN::ContextMenu_FR_VehicleOvenNoPower = "There's no power!",
2959472220::CN::ContextMenu_FR_VehicleOvenNoPower = "没有电源!",
2959472220::EN::ContextMenu_FR_VehicleOvenOff = "Turn Oven Off",
2959472220::CN::ContextMenu_FR_VehicleOvenOff = "关闭烤箱",
2959472220::EN::ContextMenu_FR_VehicleOvenOn = "Turn Oven On",
2959472220::CN::ContextMenu_FR_VehicleOvenOn = "打开烤箱",
2959472220::EN::IGUI_VehicleNameTrailer_fr_camper_scamp = "Scamp",
2959472220::CN::IGUI_VehicleNameTrailer_fr_camper_scamp = "哥布林",
2959472220::EN::IGUI_VehicleNameTrailer_fr_ch_3100_51 = "Chopped truck bed",
2959472220::CN::IGUI_VehicleNameTrailer_fr_ch_3100_51 = "切割卡车车厢",
2959472220::EN::IGUI_VehicleNameTrailer_fr_fuel_medium = "Fuel Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_fuel_medium = "燃料拖车",
2959472220::EN::IGUI_VehicleNameTrailer_fr_fuel_small = "Fuel Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_fuel_small = "燃料拖车",
2959472220::EN::IGUI_VehicleNameTrailer_fr_moving_large = "Moving Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_moving_large = "搬家拖车",
2959472220::EN::IGUI_VehicleNameTrailer_fr_moving_medium = "Moving Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_moving_medium = "搬家拖车",
2959472220::EN::IGUI_VehicleNameTrailer_fr_open_bed_big = "Open Bed Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_open_bed_big = "开放式拖车",
2959472220::EN::IGUI_VehicleNameTrailer_fr_open_bed_large = "Open Bed Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_open_bed_large = "开放式拖车",
2959472220::EN::IGUI_VehicleNameTrailer_fr_open_bed_medium = "Open Bed Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_open_bed_medium = "开放式拖车",
2959472220::EN::IGUI_VehicleNameTrailer_fr_open_bed_small = "Open Bed Trailer",
2959472220::CN::IGUI_VehicleNameTrailer_fr_open_bed_small = "开放式拖车",
2959472220::EN::IGUI_VehicleNamefr_ag_hmmwv_92_2d_mil = "M998A1",
2959472220::CN::IGUI_VehicleNamefr_ag_hmmwv_92_2d_mil = "M998A1",
2959472220::EN::IGUI_VehicleNamefr_ag_hmmwv_92_4d_mil = "M1097",
2959472220::CN::IGUI_VehicleNamefr_ag_hmmwv_92_4d_mil = "M1097",
2959472220::EN::IGUI_VehicleNamefr_ag_m151_85_mil = "M151A2",
2959472220::CN::IGUI_VehicleNamefr_ag_m151_85_mil = "M151A2",
2959472220::EN::IGUI_VehicleNamefr_ag_m35_88_mil = "M35A2",
2959472220::CN::IGUI_VehicleNamefr_ag_m35_88_mil = "M35A2",
2959472220::EN::IGUI_VehicleNamefr_ag_m49_88_mil = "M49",
2959472220::CN::IGUI_VehicleNamefr_ag_m49_88_mil = "M49",
2959472220::EN::IGUI_VehicleNamefr_am_gremlin_73 = "AMC Gremlin",
2959472220::CN::IGUI_VehicleNamefr_am_gremlin_73 = "UAC 小精灵",
2959472220::EN::IGUI_VehicleNamefr_bu_wildcat_68 = "Buick Wildcat",
2959472220::CN::IGUI_VehicleNamefr_bu_wildcat_68 = "乌塔娜山猫",
2959472220::EN::IGUI_VehicleNamefr_bu_wildcat_68_convert = "Buick Wildcat",
2959472220::CN::IGUI_VehicleNamefr_bu_wildcat_68_convert = "乌塔娜山猫",
2959472220::EN::IGUI_VehicleNamefr_ca_deville_79 = "Cadillac Deville",
2959472220::CN::IGUI_VehicleNamefr_ca_deville_79 = "劳梅特·霍格",
2959472220::EN::IGUI_VehicleNamefr_ca_deville_79_coupe = "Cadillac Coupe Deville",
