
------ 3540757743 ::  ------

3540757743::EN::Recipe_Brake_It = "Brake It",
3540757743::CN::Recipe_Brake_It = "破坏它",
3540757743::EN::Recipe_CreateClay = "Create Clay",
3540757743::CN::Recipe_CreateClay = "制作粘土",
3540757743::EN::Recipe_DismantleToolBox = "Dismantle Tool Box",
3540757743::CN::Recipe_DismantleToolBox = "拆解工具箱",
3540757743::EN::Recipe_Dismantle_Shoes = "Dismantle Shoes",
3540757743::CN::Recipe_Dismantle_Shoes = "拆解鞋子",
3540757743::EN::Recipe_Forge_Gold_Bar = "Forge Gold Bar",
3540757743::CN::Recipe_Forge_Gold_Bar = "锻造金条",
3540757743::EN::Recipe_Forge_Silver_Bar = "Forge Silver Bar",
3540757743::CN::Recipe_Forge_Silver_Bar = "锻造银条",
3540757743::EN::Recipe_Forge_Small_Gold_Bar = "Forge Small Gold Bar",
3540757743::CN::Recipe_Forge_Small_Gold_Bar = "锻造小金条",
3540757743::EN::Recipe_Forge_Small_Silver_Bar = "Forge Small Silver Bar",
3540757743::CN::Recipe_Forge_Small_Silver_Bar = "锻造小银条",
3540757743::EN::Recipe_MakeBoiledEgg = "Make Boiled Egg",
3540757743::CN::Recipe_MakeBoiledEgg = "制作煮鸡蛋",
3540757743::EN::Recipe_MakeBoundedMop = "Make Bounded Mop",
3540757743::CN::Recipe_MakeBoundedMop = "制作捆绑拖把",
3540757743::EN::Recipe_MakeCarBatteryCharger = "Make Car Battery Charger",
3540757743::CN::Recipe_MakeCarBatteryCharger = "制作车载电池充电器",
3540757743::EN::Recipe_MakeCleaningLiquidFromPerfume = "Make Cleaning Liquid From Perfume",
3540757743::CN::Recipe_MakeCleaningLiquidFromPerfume = "用香水制作清洁液",
3540757743::EN::Recipe_MakeEngineParts = "Make Engine Parts",
3540757743::CN::Recipe_MakeEngineParts = "制作引擎零件",
3540757743::EN::Recipe_MakeGenerator = "Make Generator",
3540757743::CN::Recipe_MakeGenerator = "制作发电机",
3540757743::EN::Recipe_MakeGunPowder = "Make Gun Powder",
3540757743::CN::Recipe_MakeGunPowder = "制作火药",
3540757743::EN::Recipe_MakeHomemadeCleaningLiquid = "Make Homemade Cleaning Liquid",
3540757743::CN::Recipe_MakeHomemadeCleaningLiquid = "制作自制清洁液",
3540757743::EN::Recipe_MakeMotionSensor = "Make Motion Sensor",
3540757743::CN::Recipe_MakeMotionSensor = "制作运动传感器",
3540757743::EN::Recipe_MakeMouseTrap = "Make Mouse Trap",
3540757743::CN::Recipe_MakeMouseTrap = "制作捕鼠器",
3540757743::EN::Recipe_MakeNaturalCleaningLiquid = "Make Natural Cleaning Liquid",
3540757743::CN::Recipe_MakeNaturalCleaningLiquid = "制作天然清洁液",
3540757743::EN::Recipe_MakeOldCleaningLiquid = "Make Old Cleaning Liquid",
3540757743::CN::Recipe_MakeOldCleaningLiquid = "制作旧式清洁液",
3540757743::EN::Recipe_Make_Acoustic_Guitar = "Make Acoustic Guitar",
3540757743::CN::Recipe_Make_Acoustic_Guitar = "制作原声吉他",
3540757743::EN::Recipe_Make_Banjo = "Make Banjo",
3540757743::CN::Recipe_Make_Banjo = "制作班卓琴",
3540757743::EN::Recipe_Make_Bracelet = "Make Bracelet",
3540757743::CN::Recipe_Make_Bracelet = "制作手镯",
3540757743::EN::Recipe_Make_Electric_Bass = "Make Electric Bass",
3540757743::CN::Recipe_Make_Electric_Bass = "制作电贝司",
3540757743::EN::Recipe_Make_Electric_Guitar = "Make Electric Guitar",
3540757743::CN::Recipe_Make_Electric_Guitar = "制作电吉他",
3540757743::EN::Recipe_Make_Flute = "Make Flute",
3540757743::CN::Recipe_Make_Flute = "制作长笛",
3540757743::EN::Recipe_Make_Harmonica = "Make Harmonica",
3540757743::CN::Recipe_Make_Harmonica = "制作口琴",
3540757743::EN::Recipe_Make_Keytar = "Make Keytar",
3540757743::CN::Recipe_Make_Keytar = "制作肩背式键盘",
3540757743::EN::Recipe_Make_Saxophone = "Make Saxophone",
3540757743::CN::Recipe_Make_Saxophone = "制作萨克斯管",
3540757743::EN::Recipe_Make_Trumpet = "Make Trumpet",
3540757743::CN::Recipe_Make_Trumpet = "制作小号",
3540757743::EN::Recipe_Make_Violin = "Make Violin",
3540757743::CN::Recipe_Make_Violin = "制作小提琴",
3540757743::EN::Recipe_Reclaim_Burlap = "Reclaim Burlap",
3540757743::CN::Recipe_Reclaim_Burlap = "回收粗麻布",
3540757743::EN::Recipe_Reclaim_Denim_Strips = "Reclaim Denim Strips",
3540757743::CN::Recipe_Reclaim_Denim_Strips = "回收牛仔布条",
3540757743::EN::Recipe_Reclaim_Rags = "Reclaim Rags",
3540757743::CN::Recipe_Reclaim_Rags = "回收碎布条",
3540757743::EN::Recipe_Reclaim_Twine = "Reclaim Twine",
3540757743::CN::Recipe_Reclaim_Twine = "回收麻线",
3540757743::EN::Recipe_RipIt = "Rip It",
3540757743::CN::Recipe_RipIt = "撕开它",
3540757743::EN::Recipe_UnstackHay = "Unstack Hay",
3540757743::CN::Recipe_UnstackHay = "拆分干草堆",
3540757743::EN::Recipe_UseAsRag = "Use As Rag",
3540757743::CN::Recipe_UseAsRag = "当作碎布条使用",

