
------ 3390901679 ::  ------

3390901679::EN::ItemName_JunkFoodsPH.BoyBawang = "Boy Bawang",
3390901679::CN::ItemName_JunkFoodsPH.BoyBawang = "男孩爆米花",
3390901679::EN::ItemName_JunkFoodsPH.ChippyBlue = "Chippy Chili & Cheese",
3390901679::CN::ItemName_JunkFoodsPH.ChippyBlue = "辣椒奶酪味玉米片 ",
3390901679::EN::ItemName_JunkFoodsPH.ChippyRed = "Chippy Barbeque",
3390901679::CN::ItemName_JunkFoodsPH.ChippyRed = "奇比烧烤味薯片",
3390901679::EN::ItemName_JunkFoodsPH.CloverChips = "Clover Chips",
3390901679::CN::ItemName_JunkFoodsPH.CloverChips = "三叶草薯片",
3390901679::EN::ItemName_JunkFoodsPH.Cracklings = "Cracklings",
3390901679::CN::ItemName_JunkFoodsPH.Cracklings = "香脆猪油渣",
3390901679::EN::ItemName_JunkFoodsPH.CrispyPatata = "Crispy Patata",
3390901679::CN::ItemName_JunkFoodsPH.CrispyPatata = "香脆马铃薯片",
3390901679::EN::ItemName_JunkFoodsPH.DingDongSS = "Ding Dong Sweet & Spicy",
3390901679::CN::ItemName_JunkFoodsPH.DingDongSS = "叮咚甜辣味薯片",
3390901679::EN::ItemName_JunkFoodsPH.MartysSpicy = "Martys Spicy",
3390901679::CN::ItemName_JunkFoodsPH.MartysSpicy = "马蒂辣味薯片",
3390901679::EN::ItemName_JunkFoodsPH.Moby = "Moby",
3390901679::CN::ItemName_JunkFoodsPH.Moby = "摩比虾饼",
3390901679::EN::ItemName_JunkFoodsPH.MrChips = "Mr. Chips",
3390901679::CN::ItemName_JunkFoodsPH.MrChips = "薯片先生",
3390901679::EN::ItemName_JunkFoodsPH.NutriStar = "NutriStar",
3390901679::CN::ItemName_JunkFoodsPH.NutriStar = "营养之星饼干",
3390901679::EN::ItemName_JunkFoodsPH.OishiPrawnCrackers = "Oishi Prawn Crackers",
3390901679::CN::ItemName_JunkFoodsPH.OishiPrawnCrackers = "美味鲜虾片",
3390901679::EN::ItemName_JunkFoodsPH.PiattosCheese = "Piattos Cheese",
3390901679::CN::ItemName_JunkFoodsPH.PiattosCheese = "皮亚托芝士味薯片",
3390901679::EN::ItemName_JunkFoodsPH.Richee = "Richee",
3390901679::CN::ItemName_JunkFoodsPH.Richee = "里奇虾片",
3390901679::EN::ItemName_JunkFoodsPH.Snacku = "Snacku",
3390901679::CN::ItemName_JunkFoodsPH.Snacku = "零食屋饼干",
3390901679::EN::ItemName_JunkFoodsPH.Tomi = "Tomi",
3390901679::CN::ItemName_JunkFoodsPH.Tomi = "托米饼干",
3390901679::EN::Sandbox_JunkFoodsPH = "JunkFoodsPH",
3390901679::CN::Sandbox_JunkFoodsPH = "菲律宾零食模组",
3390901679::EN::Sandbox_JunkFoodsPH_SpawnRateChips = "Spawn Rate",
3390901679::CN::Sandbox_JunkFoodsPH_SpawnRateChips = "零食生成概率",
3390901679::EN::Sandbox_JunkFoodsPH_SpawnRateChips_option1 = "Extremely Rare",
3390901679::CN::Sandbox_JunkFoodsPH_SpawnRateChips_option1 = "极其稀有",
3390901679::EN::Sandbox_JunkFoodsPH_SpawnRateChips_option2 = "Rare",
3390901679::CN::Sandbox_JunkFoodsPH_SpawnRateChips_option2 = "稀有",
3390901679::EN::Sandbox_JunkFoodsPH_SpawnRateChips_option3 = "Normal",
3390901679::CN::Sandbox_JunkFoodsPH_SpawnRateChips_option3 = "正常",
3390901679::EN::Sandbox_JunkFoodsPH_SpawnRateChips_option4 = "Common",
3390901679::CN::Sandbox_JunkFoodsPH_SpawnRateChips_option4 = "常见",
3390901679::EN::Sandbox_JunkFoodsPH_SpawnRateChips_option5 = "Abundant",
3390901679::CN::Sandbox_JunkFoodsPH_SpawnRateChips_option5 = "丰富",
3390901679::EN::Sandbox_JunkFoodsPH_SpawnRateChips_option6 = "None",
3390901679::CN::Sandbox_JunkFoodsPH_SpawnRateChips_option6 = "无",

