
------ 3389805754 ::  ------

3389805754::EN::ItemName_Base.KatanaSheath = "Katana Sheath",
3389805754::CN::ItemName_Base.KatanaSheath = "武士刀鞘",
3389805754::EN::ItemName_Base.KatanaSheathBlack = "Katana Sheath Black",
3389805754::CN::ItemName_Base.KatanaSheathBlack = "武士刀鞘 (黑色)",
3389805754::EN::ItemName_Base.KatanaSheathBlue = "Katana Sheath Blue",
3389805754::CN::ItemName_Base.KatanaSheathBlue = "武士刀鞘 (蓝色)",
3389805754::EN::ItemName_Base.KatanaSheathEnma = "Katana Sheath Enma",
3389805754::CN::ItemName_Base.KatanaSheathEnma = "武士刀鞘 (阎魔)",
3389805754::EN::ItemName_Base.KatanaSheathGalaxy = "Katana Sheath Galaxy",
3389805754::CN::ItemName_Base.KatanaSheathGalaxy = "武士刀鞘 (银河)",
3389805754::EN::ItemName_Base.KatanaSheathGreen = "Katana Sheath Green",
3389805754::CN::ItemName_Base.KatanaSheathGreen = "武士刀鞘 (绿色)",
3389805754::EN::ItemName_Base.KatanaSheathHearts = "Katana Sheath Hearts",
3389805754::CN::ItemName_Base.KatanaSheathHearts = "武士刀鞘 (爱心)",
3389805754::EN::ItemName_Base.KatanaSheathHip = "Katana Sheath Hip",
3389805754::CN::ItemName_Base.KatanaSheathHip = "武士刀鞘 (腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipBlack = "Katana Sheath Hip Black",
3389805754::CN::ItemName_Base.KatanaSheathHipBlack = "武士刀鞘 (黑色, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipBlue = "Katana Sheath Hip Blue",
3389805754::CN::ItemName_Base.KatanaSheathHipBlue = "武士刀鞘 (蓝色, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipEnma = "Katana Sheath Hip Enma",
3389805754::CN::ItemName_Base.KatanaSheathHipEnma = "武士刀鞘 (阎魔, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipGalaxy = "Katana Sheath Hip Galaxy",
3389805754::CN::ItemName_Base.KatanaSheathHipGalaxy = "武士刀鞘 (银河, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipGreen = "Katana Sheath Hip Green",
3389805754::CN::ItemName_Base.KatanaSheathHipGreen = "武士刀鞘 (绿色, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipHearts = "Katana Sheath Hip Hearts",
3389805754::CN::ItemName_Base.KatanaSheathHipHearts = "武士刀鞘 (爱心, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipPink = "Katana Sheath Hip Pink",
3389805754::CN::ItemName_Base.KatanaSheathHipPink = "武士刀鞘 (粉色, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipRed = "Katana Sheath Hip Red",
3389805754::CN::ItemName_Base.KatanaSheathHipRed = "武士刀鞘 (红色, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipShusui = "Katana Sheath Hip Shusui",
3389805754::CN::ItemName_Base.KatanaSheathHipShusui = "武士刀鞘 (秋水, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathHipWhite = "Katana Sheath Hip White",
3389805754::CN::ItemName_Base.KatanaSheathHipWhite = "武士刀鞘 (白色, 腰部)",
3389805754::EN::ItemName_Base.KatanaSheathPink = "Katana Sheath Pink",
3389805754::CN::ItemName_Base.KatanaSheathPink = "武士刀鞘 (粉色)",
3389805754::EN::ItemName_Base.KatanaSheathRed = "Katana Sheath Red",
3389805754::CN::ItemName_Base.KatanaSheathRed = "武士刀鞘 (红色)",
3389805754::EN::ItemName_Base.KatanaSheathShusui = "Katana Sheath Shusui",
3389805754::CN::ItemName_Base.KatanaSheathShusui = "武士刀鞘 (秋水)",
3389805754::EN::ItemName_Base.KatanaSheathWhite = "Katana Sheath White",
3389805754::CN::ItemName_Base.KatanaSheathWhite = "武士刀鞘 (白色)",
3389805754::EN::ItemName_Base.KnifeSheathBack = "Knife Sheath Back",
3389805754::CN::ItemName_Base.KnifeSheathBack = "刀鞘 (背部)",
3389805754::EN::ItemName_Base.KnifeSheathLeg = "Knife Sheath Leg",
3389805754::CN::ItemName_Base.KnifeSheathLeg = "刀鞘 (腿部)",
3389805754::EN::ItemName_Base.KnifeSheathMidnightBack = "Knife Sheath Midnight Back",
3389805754::CN::ItemName_Base.KnifeSheathMidnightBack = "午夜刀鞘 (背部)",
3389805754::EN::ItemName_Base.KnifeSheathMidnightLeg = "Knife Sheath Midnight Leg",
3389805754::CN::ItemName_Base.KnifeSheathMidnightLeg = "午夜刀鞘 (腿部)",
3389805754::EN::ItemName_Base.KnifeSheathMilitaryBack = "Knife Sheath Military Back",
3389805754::CN::ItemName_Base.KnifeSheathMilitaryBack = "军用刀鞘 (背部)",
3389805754::EN::ItemName_Base.KnifeSheathMilitaryLeg = "Knife Sheath Military Leg",
3389805754::CN::ItemName_Base.KnifeSheathMilitaryLeg = "军用刀鞘 (腿部)",
3389805754::EN::ItemName_Base.KnifeSheathPoliceBack = "Knife Sheath Police Back",
3389805754::CN::ItemName_Base.KnifeSheathPoliceBack = "警用刀鞘 (背部)",
